name,balance
User01,100
User02,200
User03,300
User04,400
User05,500
User06,600
User07,700
User08,800
User09,900
User10,1000
User11,110
User12,220
User13,330
User14,440
User15,550
User16,660
User17,770
User18,880
User19,990
User20,1200
User21,130
User22,240
User23,350
User24,460
User25,570
User26,680
User27,790
User28,810
User29,920
User30,1030
User31,140
User32,250
User33,360
User34,470
User35,580
User36,690
User37,710
User38,820
User39,930
User40,1040
User41,150
User42,260
User43,370
User44,480
User45,590
User46,610
User47,720
User48,830
User49,940
User50,1050
